Country, Year, GDP (in billion USD), Inflation Rate (%), Unemployment Rate (%), Economic Growth (%)
Australia,2010,1300,2.8,5.2,2.9
Australia,2011,1350,3,5,3.1
Australia,2012,1400,2,5.1,3.3
Australia,2013,1450,2.5,5.6,2.5
Australia,2014,1500,2.5,5.8,2.9
Australia,2015,1550,1.5,6.2,3
Australia,2016,1600,1,5.7,2.5
Australia,2017,1650,1.8,5.6,2.9
Australia,2018,1700,1.9,5.4,2.8
Australia,2019,1750,1.8,5.3,2.1
Australia,2020,1800,0.9,7,-2.1
Australia,2021,1850,2.1,6,4.4
Australia,2022,1900,5.1,5,3
Australia,2023,1950,6.1,4.9,1.7
Australia,2024,2000,3.7,4.8,2.3
Australia,2025,2050,2.9,4.6,2.7
France,2010,2400,1.5,9.5,1.7
France,2011,2500,2.3,9.8,1.1
France,2012,2600,2,10,0
France,2013,2700,0.9,10.3,-0.2
France,2014,2800,0.3,10.5,0.2
France,2015,2900,0.1,10.3,1.2
France,2016,3000,0.2,10,1.1
France,2017,3100,1,9.5,2.3
France,2018,3200,2.1,9.1,1.8
France,2019,3300,1.3,8.8,1.3
France,2020,3400,0.5,9.4,-7.8
France,2021,3500,1.6,8.1,7
France,2022,3600,5,7.8,2.6
France,2023,3700,6.1,7.5,1.5
France,2024,3800,3.9,7.2,2.1
France,2025,3900,2.8,6.9,2.5
South Korea,2010,1000,2.9,3.6,6.2
South Korea,2011,1050,4,3.4,3.6
South Korea,2012,1100,2.2,3.2,2.3
South Korea,2013,1150,1.3,3.1,2.9
South Korea,2014,1200,1.3,3.5,3.3
South Korea,2015,1250,0.7,3.4,2.8
South Korea,2016,1300,1,3.7,2.8
South Korea,2017,1350,1.9,3.7,3.1
South Korea,2018,1400,1.5,3.8,2.7
South Korea,2019,1450,0.4,3.7,2
South Korea,2020,1500,0.5,4,-1
South Korea,2021,1550,2,3.5,4
South Korea,2022,1600,5,3.3,2.3
South Korea,2023,1650,3.8,3.2,1.8
South Korea,2024,1700,2.8,3.1,2.1
South Korea,2025,1750,2.5,3,2.5
Saudi Arabia,2010,434,5.4,10.5,4.2
Saudi Arabia,2011,518,5.4,10.5,10.5
Saudi Arabia,2012,678,5.4,10.5,6.5
Saudi Arabia,2013,746,5.4,10.5,10
Saudi Arabia,2014,746,5.4,10.5,10
Saudi Arabia,2015,646,5.4,10.5,-14
Saudi Arabia,2016,646,5.4,10.5,0
Saudi Arabia,2017,646,5.4,10.5,0
Saudi Arabia,2018,646,5.4,10.5,0
Saudi Arabia,2019,646,5.4,10.5,0
Saudi Arabia,2020,646,5.4,10.5,0
Saudi Arabia,2021,646,5.4,10.5,0
Saudi Arabia,2022,646,5.4,10.5,0
Saudi Arabia,2023,646,5.4,10.5,0
Saudi Arabia,2024,646,5.4,10.5,0
Saudi Arabia,2025,646,5.4,10.5,0
Brazil,2010,2225,5.91,6.7,7.53
Brazil,2011,2475,6.5,6,2.92
Brazil,2012,2465,5.84,5.5,1.92
Brazil,2013,2465,6.3,5.4,2.3
Brazil,2014,2450,6.29,5.3,0.5
Brazil,2015,1800,9,8.5,-3.8
Brazil,2016,1800,8.74,11.5,-3.6
Brazil,2017,2050,3.4,12.7,1
Brazil,2018,2200,3.75,12.3,1.1
Brazil,2019,2250,3.73,11.9,1.1
Brazil,2020,2100,3.2,13.5,-3.9
Brazil,2021,2200,10.06,11.1,4.6
Brazil,2022,2300,5.79,9.3,2.5
Brazil,2023,2400,5,8.5,2
Brazil,2024,2500,4.5,7.8,2
Brazil,2025,2600,3.3,7,2.6
Italy,2010,2101,1.6,8.4,1.7
Italy,2011,2607,3.3,8.4,0.5
Italy,2012,2013,3.3,10.7,-2.8
Italy,2013,2138,0.2,12.2,-1.8
Italy,2014,2148,-0.2,12.7,-0.4
Italy,2015,1848,0.1,11.9,0.8
Italy,2016,1853,-0.1,11.7,1.1
Italy,2017,2314,1.6,11.2,1.6
Italy,2018,2853,0.3,10.6,0.9
Italy,2019,3040,0.3,9.9,0.3
Italy,2020,3717,-0.1,9.7,-8.9
Italy,2021,4000,1.9,9.3,6.6
Italy,2022,4500,8.7,8.1,3.5
Italy,2023,4800,5,7.5,2
Italy,2024,5000,3,7,1.5
Italy,2025,5200,2,6.5,1
Bangladesh,2010,105,8.8,4.5,6.1
Bangladesh,2011,115,8.8,4.5,6.5
Bangladesh,2012,125,8,4.5,6.3
Bangladesh,2013,135,7.5,4.5,6
Bangladesh,2014,145,7,4.5,6.5
Bangladesh,2015,155,6.5,4.5,6.5
Bangladesh,2016,165,6,4.5,7.1
Bangladesh,2017,175,5.5,4.5,7.3
Bangladesh,2018,185,5,4.5,7.9
Bangladesh,2019,195,5.5,4.5,8.2
Bangladesh,2020,200,5.5,4.5,5.2
Bangladesh,2021,210,5.5,4.5,6.9
Bangladesh,2022,220,5.5,4.5,7.3
Bangladesh,2023,230,5.5,4.5,7.5
Bangladesh,2024,240,5.5,4.5,7.7
Bangladesh,2025,250,5.5,4.5,7.9
Indonesia,2010,706,5.1,7.1,6.2
Indonesia,2011,846,3.8,6.6,6.5
Indonesia,2012,1,84,4.3,6.1
Indonesia,2013,1,333,6.4,5.9
Indonesia,2014,1,492,8.4,5.9
Indonesia,2015,1,22,6.4,6.2
Indonesia,2016,1,34,3.5,5.6
Indonesia,2017,1,40,3.6,5.5
Indonesia,2018,1,42,3.2,5.3
Indonesia,2019,1,119,3.5,5.3
Indonesia,2020,1,58,1.7,7.1
Indonesia,2021,1,186,1.6,6.5
Indonesia,2022,1,307,5.5,5.9
Indonesia,2023,1,400,4.5,5.5
Indonesia,2024,1,470,3.5,5
Indonesia,2025,1,550,3,4.5
Turkey,2010,774,6.4,11.9,9.2
Turkey,2011,1,226,10.4,9.8
Turkey,2012,1,384,6.2,8.4
Turkey,2013,1,592,7.4,9.7
Turkey,2014,1,767,8.2,9.9
Turkey,2015,1,857,7.7,10.3
Turkey,2016,1,853,8.5,10.9
Turkey,2017,2,315,11.9,10.8
Turkey,2018,2,853,20.3,11.1
Turkey,2019,3,40,11.8,13.7
Turkey,2020,3,717,14.6,13.2
Turkey,2021,4,0,36.1,12
Turkey,2022,4,500,85.5,10
Turkey,2023,5,0,65,9
Turkey,2024,5,500,33,8
Turkey,2025,6,0,15,7
Malaysia,2010,236,1.7,3.2,7.2
Malaysia,2011,261,3.2,3.1,5.1
Malaysia,2012,278,1.6,3,5.6
Malaysia,2013,307,2.1,2.9,4.7
Malaysia,2014,314,3.2,2.8,6
Malaysia,2015,296,2.1,3.1,5
Malaysia,2016,296,1.8,3.4,4.2
Malaysia,2017,314,3.8,3.3,5.9
Malaysia,2018,364,0.3,3.3,4.7
Malaysia,2019,365,0.3,3.3,4.3
Malaysia,2020,336,-1.2,4.5,-5.6
Malaysia,2021,372,2.5,4.6,3.1
Malaysia,2022,410,3.3,4.5,8.7
Malaysia,2023,440,3,4.3,5.5
Malaysia,2024,460,2.5,4,4.8
Malaysia,2025,480,2,3.8,4.5
Pakistan,2010,164,11.7,5,2.6
Pakistan,2011,210,13.7,5.5,3.7
Pakistan,2012,225,11,6,3.8
Pakistan,2013,231,7.4,6.5,3.7
Pakistan,2014,247,8.6,6,4.1
Pakistan,2015,271,4.5,5.5,4.7
Pakistan,2016,278,3.8,5,5.4
Pakistan,2017,314,4,5,5.4
Pakistan,2018,314,3.9,5,5.5
Pakistan,2019,314,6.8,5,3.3
Pakistan,2020,263,10.7,5,-0.5
Pakistan,2021,296,8.9,5,5.7
Pakistan,2022,350,12.3,5,6
Pakistan,2023,400,20,5,4
Pakistan,2024,450,25,5,3
Pakistan,2025,500,20,5,3.2
